"","Member_ID","Landing","Visits"
"1","Q8330858","Homepage",452
"2","F1978372","Homepage",2
"3","E2172254","Homepage",49
"4","N9540435","Homepage",1
"5","H9542914","Homepage",234
"6","U7288818","Homepage",1
"7","Q3779991","Homepage",2
"8","K2700986","Homepage",2
"9","E1947789","Homepage",2
"10","M3254469","Homepage",1
"11","N9673775","Homepage",1
"12","J0164310","Homepage",437
"13","N4935830","Homepage",2
"14","A1388204","Homepage",2
"15","T8396238","Homepage",88
"16","C4148854","Homepage",2
"17","L3148424","Homepage",324
"18","R5527984","Homepage",1
"19","D2699293","Homepage",58
"20","M2305623","Homepage",124
"21","U3493495","Homepage",227
"22","U0787972","Homepage",2
"23","W2707114","Homepage",295
"24","W1726090","Homepage",2
"25","I6267891","Homepage",47
"26","Z7874741","Homepage",414
"27","M5913059","Homepage",1
"28","D6893614","Homepage",121
"29","A6334220","Homepage",1
"30","Y1689793","Homepage",161
"31","Z1312024","Homepage",1
"32","Y4365644","Homepage",287
"33","F0699667","Homepage",1
"34","V0623840","Homepage",367
"35","Q3213734","Homepage",2
"36","F9012528","Homepage",130
"37","C1811595","Homepage",208
"38","Y2684754","Homepage",2
"39","O2733077","Homepage",1
"40","E3711635","Homepage",1
"41","J6428235","Homepage",53
"42","Y6738177","Homepage",417
"43","C4903743","Homepage",1
"44","H9680526","Homepage",104
"45","Q2258641","Homepage",1
"46","A1744843","Homepage",2
"47","Y2449342","Homepage",1
"48","Y2262674","Homepage",282
"49","T4316306","Homepage",446
"50","P3597719","Homepage",2
"51","O8689418","Homepage",2
"52","Q2851478","Homepage",1
"53","U1364256","Homepage",2
"54","T8420076","Homepage",339
"55","D4487996","Homepage",198
"56","M2091247","Homepage",365
"57","U5009082","Homepage",356
"58","E0358911","Homepage",6
"59","R9346604","Homepage",307
"60","G3437802","Homepage",253
"61","Z2761552","Homepage",478
"62","D0439960","Homepage",34
"63","P9996571","Homepage",1
"64","H4795805","Homepage",431
"65","X9241388","Homepage",222
"66","M4709765","Homepage",1
"67","K3552767","Homepage",2
"68","L3301171","Homepage",24
"69","L9250736","Homepage",95
"70","I3412938","Homepage",300
"71","K3130767","Homepage",445
"72","Y2160651","Homepage",1
"73","N5832866","Homepage",404
"74","F1069055","Homepage",326
"75","K8194442","Homepage",1
"76","N5669679","Homepage",1
"77","R1044927","Homepage",1
"78","Z9962559","Homepage",2
"79","A7173761","Homepage",2
"80","T1941238","Homepage",266
"81","C7003743","Homepage",321
"82","G5209582","Homepage",1
"83","A4471884","Homepage",1
"84","W1804204","Homepage",1
"85","B1457077","Homepage",2
"86","J9831830","Homepage",1
"87","C4719728","Homepage",2
"88","A1057583","Homepage",97
"89","Q8783555","Homepage",208
"90","Y0131555","Homepage",1
"91","V8628170","Homepage",478
"92","K2226310","Homepage",347
"93","J7815693","Homepage",204
"94","R4692596","Homepage",439
"95","D6471497","Homepage",1
"96","J3908055","Homepage",2
"97","F5467992","Homepage",1
"98","P5343837","Homepage",28
"99","U2774681","Homepage",339
"100","A8402449","Homepage",2
"101","H2817068","Homepage",367
"102","D1990810","Homepage",1
"103","S6927381","Homepage",258
"104","S4264157","Homepage",336
"105","T7969043","Homepage",491
"106","A6183825","Homepage",385
"107","Z8400539","Homepage",1
"108","P8867313","Homepage",2
"109","J7961106","Homepage",1
"110","C1489968","Homepage",373
"111","J1484669","Homepage",1
"112","V3972936","Homepage",365
"113","D3870008","Homepage",309
"114","T1202619","Homepage",1
"115","I2276772","Homepage",2
"116","O0361569","Homepage",2
"117","J6432239","Homepage",1
"118","L8175493","Homepage",1
